Park,City,State,Country,Zip_Code
Cedar Point,Sandusky,Ohio,United States,44870
Kings Island,Mason,Ohio,United States,45040
Holiday World,Santa Claus,Indiana,United States,47579
Six Flags Great Adventure,Jackson,New Jersey,United States,08527
Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,17824
Busch Gardens Williamsburg,Williamsburg,Virginia,United States,23185
Kennywood,West Mifflin,Pennsylvania,United States,15122
Liseberg,Gothenburg,Västra Götalands,Sweden,402 22
Carowinds,Charlotte,North Carolina,United States,28273
Dollywood,Pigeon Forge,Tennessee,United States,37863
Six Flags Great America,Gurnee,Illinois,United States,60031
Busch Gardens Tampa,Tampa,Florida,United States,33612
Six Flags New England,Agawam,Massachusetts,United States,01001
Six Flags St. Louis,Eureka,Missouri,United States,63025
Canada’s Wonderland,Vaughan,Ontario,Canada,L6A 1S6
Six Flags Over Georgia,Austell,Georgia,United States,30168
Europa-Park,Rust,Baden-Württemberg,Germany,77977
Kings Dominion,Doswell,Virginia,United States,23047
Six Flags Magic Mountain,Valencia,California,United States,91355
Silver Dollar City,Branson,Missouri,United States,65616
Hersheypark,Hershey,Pennsylvania,United States,17033
Six Flags Over Texas,Arlington,Texas,United States,76011
Lake Compounce,Bristol,Connecticut,United States,06010
Waldameer,Erie,Pennsylvania,United States,16505
Holiday Park,Hassloch,Rhineland-Palatinate,Germany,67454
Phantasialand,Brühl,North Rhine-Westphalia,Germany,50321
Kentucky Kingdom,Louisville,Kentucky,United States,40209
Michigan’s Adventure,Muskegon,Michigan,United States,49445
Alton Towers,Stoke-on-Trent,England,United Kingdom,ST10 4DB
California’s Great America,Santa Clara,California,United States,95054
Blackpool Pleasure Beach,Blackpool,England,United Kingdom,FY4 1EZ
Kolmården,Kolmården,Östergötlands,Sweden,618 92
Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,95060
The Great Escape,Queensbury,New York,United States,12804
Toverland,Sevenum,Limburg,Netherlands,5975
Tayto Park,Ashbourne,Meath,Ireland,A84 EA02
Alabama Splash Adventure,Bessemer,Alabama,United States,35022
Heide Park,Soltau,Lower Saxony,Germany,29614
Quassy Amusement Park,Middlebury,Connecticut,United States,06762
Kemah Boardwalk,Kemah,Texas,United States,77565
SeaWorld Orlando,Orlando,Florida,United States,32821
Knott’s Berry Farm,Buena Park,California,United States,90620
Worlds of Fun,Kansas City,Missouri,United States,64161
Gröna Lund,Stockholm,Stockholms,Sweden,115 21
Lagoon,Farmington,Utah,United States,84025
Six Flags Fiesta Texas,San Antonio,Texas,United States,78257
La Ronde,Montreal,Quebec,Canada,H3C6A3
Disney’s Animal Kingdom,Lake Buena Vista,Florida,United States,32830
Mt. Olympus Theme Park,Wisconsin Dells,Wisconsin,United States,53965
Fun Spot America,Orlando,Florida,United States,32819
Six Flags Mexico,Mexico City,Distrito Federal,Mexico,14200
Beech Bend,Bowling Green,Kentucky,United States,42101
Everland,Seoul,Seoul,South Korea,17023
Conneaut Lake Park,Conneaut Lake,Pennsylvania,United States,16316
Silverwood,Athol,Idaho,United States,83801
Playland,Rye,New York,United States,10580
Dorney Park,Allentown,Pennsylvania,United States,18104
Coney Island,Brooklyn,New York,United States,11224
Freizeitpark Plohn,Reichenbach/Vogtland,Saxony,Germany,08485
Oakwood Leisure Park,Pembroke,Wales,United Kingdom,SA67 8DE
Valleyfair,Shakopee,Minnesota,United States,55379
PNE Playland,Vancouver,British Columbia,Canada,V5K 5J1
Tivoli Gardens,Copenhagen,Region Hovedstaden,Denmark,1630
ZDT’s,Seguin,Texas,United States,78155
PortAventura,Tarragona,Catalonia,Spain,43840
Knight Valley,Shenzhen,Guangdong,China,518085
La Feria,Mexico City,Distrito Federal,Mexico,72320
Weiner Prater,Vienna,Vienna,Austria,1020
