Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1204,2013,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1011,2013,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,598,2013,Hassloch,Rhineland-Palatinate,Germany,67454
4,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,596,2013,Jackson,New Jersey,United States,08527
5,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,542,2013,Williamsburg,Virginia,United States,23185
6,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,512,2013,Arlington,Texas,United States,76011
7,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,494,2013,Austell,Georgia,United States,30168
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,478,2013,Charlotte,North Carolina,United States,28273
9,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,416,2013,Sandusky,Ohio,United States,44870
10,Intimidator-305,Kings Dominion,"Doswell, Va.",Intamin,2010,412,2013,Doswell,Virginia,United States,23047
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1139,2014,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1049,2014,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,764,2014,Hassloch,Rhineland-Palatinate,Germany,67454
4,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,579,2014,Mason,Ohio,United States,45040
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,563,2014,Jackson,New Jersey,United States,08527
6,Leviathan,Canada’s Wonderland,"Vaughan, Ont., Canada",B&M,2012,500,2014,Vaughan,Ontario,Canada,L6A 1S6
7,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,484,2014,Williamsburg,Virginia,United States,23185
8,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,465,2014,Arlington,Texas,United States,76011
9,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,422,2014,Austell,Georgia,United States,30168
10,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,387,2014,Charlotte,North Carolina,United States,28273
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1205,2015,Sandusky,Ohio,United States,44870
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,929,2015,Agawam,Massachusetts,United States,01001
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,714,2015,Hassloch,Rhineland-Palatinate,Germany,67454
4,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,671,2015,Charlotte,North Carolina,United States,28273
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,650,2015,Jackson,New Jersey,United States,08527
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,597,2015,Williamsburg,Virginia,United States,23185
7,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,499,2015,Charlotte,North Carolina,United States,28273
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,491,2015,Vaughan,Ontario,Canada,L6A 1S6
9,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,462,2015,Stoke-on-Trent,England,United Kingdom,ST10 4DB
10,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,450,2015,Arlington,Texas,United States,76011
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1126,2016,Charlotte,North Carolina,United States,28273
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1122,2016,Sandusky,Ohio,United States,44870
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,698,2016,Agawam,Massachusetts,United States,01001
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,613,2016,Hassloch,Rhineland-Palatinate,Germany,67454
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,454,2016,Jackson,New Jersey,United States,08527
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,397,2016,Williamsburg,Virginia,United States,23185
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,393,2016,Vaughan,Ontario,Canada,L6A 1S6
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,350,2016,Charlotte,North Carolina,United States,28273
9,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,330,2016,Mason,Ohio,United States,45040
10,Phantom’s Revenge,Kennywood,"West Mifflin, Pa.",Morgan,2001,329,2016,West Mifflin,Pennsylvania,United States,15122
