Name,Park,0
Alpengeist,Busch Gardens Williamsburg,3
American Thunder,Six Flags St. Louis,3
Apollo’s Chariot,Busch Gardens Williamsburg,6
Balder,Liseberg,4
Banshee,Kings Island,3
Beast,Kings Island,2
Behemoth,Canada’s Wonderland,3
Bizarro,Six Flags Great Adventure,1
Bizarro,Six Flags New England,3
Black Mamba,Phantasialand,3
Blue Fire,Europa-Park,3
Blue Streak,Cedar Point,3
Blue Streak,Conneaut Lake Park,3
Boardwalk Bullet,Kemah Boardwalk,3
Boss,Six Flags St. Louis,2
Boulder Dash,Lake Compounce,6
Cannibal,Lagoon,3
Cheetah Hunt,Busch Gardens Tampa,3
Colossos,Heide Park,3
Comet,The Great Escape,3
Cyclone,Coney Island,3
Cú Chulainn,Tayto Park,3
Diamondback,Kings Island,4
El Toro,Freizeitpark Plohn,2
El Toro,Six Flags Great Adventure,6
Euro-Mir,Europa-Park,2
Expedition Everest,Disney’s Animal Kingdom,3
Expedition GeForce,Holiday Park,6
Flying Turns,Knoebels Amusement Resort,3
Full Throttle,Six Flags Magic Mountain,1
Fury 325,Carowinds,4
GateKeeper,Cedar Point,1
GhostRider,Knott’s Berry Farm,3
Giant Dipper,Santa Cruz Beach Boardwalk,3
Gold Striker,California’s Great America,5
Goliath,La Ronde,3
Goliath,Six Flags Great America,3
Goliath,Six Flags Over Georgia,5
Grand National,Blackpool Pleasure Beach,1
Griffon,Busch Gardens Williamsburg,2
Grizzly,Kings Dominion,1
Grizzly (KD),Kings Dominion,1
Hades 360,Mt. Olympus Theme Park,3
Helix,Liseberg,3
Intimidator,Carowinds,6
Intimidator 305,Kings Dominion,3
Intimidator-305,Kings Dominion,1
Iron Rattler,Six Flags Fiesta Texas,3
Jack Rabbit,Kennywood,3
Jetline,Gröna Lund,1
Kentucky Rumbler,Beech Bend,2
Kumba,Busch Gardens Tampa,3
Legend,Holiday World,2
Leviathan,Canada’s Wonderland,5
Lightning Racer,Hersheypark,5
Lightning Rod,Dollywood,3
Lightning Run,Kentucky Kingdom,2
Lisebergbanan,Liseberg,3
Magnum XL-200,Cedar Point,4
Mako,SeaWorld Orlando,3
Maverick,Cedar Point,3
Medusa Steel Coaster,Six Flags Mexico,2
Megafobia,Oakwood Leisure Park,2
Millennium Force,Cedar Point,6
Mind Bender,Six Flags Over Georgia,3
Mine Blower,Fun Spot America,1
Montu,Busch Gardens Tampa,3
Mystic Timbers,Kings Island,2
Nemesis,Alton Towers,4
New Texas Giant,Six Flags Over Texas,6
Nitro,Six Flags Great Adventure,6
Olympia Looping,Weiner Prater,1
Outlaw Run,Silver Dollar City,6
Phantom’s Revenge,Kennywood,3
Phoenix,Knoebels Amusement Resort,6
Playland Wooden Coaster,PNE Playland,1
Playland Wooden Coaster,Playland,2
Prowler,Worlds of Fun,3
Quimera,La Feria,1
Racer,Kennywood,1
Raging Bull,Six Flags Great America,3
Rampage,Alabama Splash Adventure,3
Raptor,Cedar Point,1
Raven,Holiday World,2
Ravine Flyer II,Waldameer,6
Renegade,Valleyfair,1
Rutschebanan,Tivoli Gardens,1
Screamin’ Eagle,Six Flags St. Louis,3
Shambhala,PortAventura,1
Shivering Timbers,Michigan’s Adventure,4
Shock Wave,Six Flags Over Texas,1
Skyrush,Hersheypark,2
Steel Force,Dorney Park,2
Steel Vengeance,Cedar Point,1
Storm Chaser,Kentucky Kingdom,3
Superman Ride of Steel,Six Flags Great America,1
Superman The Ride,Six Flags New England,2
Superman: The Ride,Six Flags New England,1
Switchback,ZDT’s,2
T Express,Everland,2
Taron,Phantasialand,3
The Beast,Kings Island,4
The Boss,Six Flags St. Louis,1
The Legend,Holiday World,1
The Raven,Holiday World,1
The Voyage,Holiday World,4
Thunderbird,Holiday World,3
Thunderbolt,Kennywood,3
Thunderhead,Dollywood,6
Time Traveler,Silver Dollar City,1
Top Thrill Dragster,Cedar Point,3
Tremors,Silverwood,2
Troy,Toverland,3
Twisted Colossus,Six Flags Magic Mountain,3
Twisted Timbers,Kings Dominion,1
Twister,Gröna Lund,2
Twister,Knoebels Amusement Resort,3
Verbolten,Busch Gardens Williamsburg,1
Voyage,Holiday World,2
White Lightning,Fun Spot America,3
Whizzer,Six Flags Great America,3
Wicked Cyclone,Six Flags New England,3
Wild Eagle,Dollywood,1
Wild Mouse,Blackpool Pleasure Beach,2
Wild One,Six Flags Great America,1
Wildfire,Kolmården,3
Wodan,Europa-Park,3
Wood Coaster,Knight Valley,1
Wooden Warrior,Quassy Amusement Park,3
X2,Six Flags Magic Mountain,3
