Rank,Name,Park,Location,Supplier,Year Built,Points,Year of Rank,City,State,Country,Zip_Code,material_type,seating_type,speed,height,length,num_inversions,manufacturer,status
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1204,2013,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1011,2013,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,598,2013,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,596,2013,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
5,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,542,2013,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
6,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,512,2013,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
7,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,494,2013,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,478,2013,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
9,Magnum XL-200,Cedar Point,"Sandusky, Ohio",Arrow,1989,416,2013,Sandusky,Ohio,United States,44870,Steel,Sit Down,116.0,63.0,1556.0,0.0,Arrow,status.operating
10,Intimidator 305,Kings Dominion,"Doswell, Va.",Intamin,2010,412,2013,Doswell,Virginia,United States,23047,Steel,Sit Down,145.0,93.0,1555.0,0.0,Intamin,status.operating
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1139,2014,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,1049,2014,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,764,2014,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Diamondback,Kings Island,"Mason, Ohio",B&M,2009,579,2014,Mason,Ohio,United States,45040,Steel,Sit Down,129.0,70.0,1610.0,0.0,B&M,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,563,2014,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Leviathan,Canada’s Wonderland,"Vaughan, Ont., Canada",B&M,2012,500,2014,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
7,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,484,2014,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
8,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,465,2014,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
9,Goliath,Six Flags Over Georgia,"Austell, Ga.",B&M,2006,422,2014,Austell,Georgia,United States,30168,Steel,Sit Down,112.0,61.0,1365.0,0.0,B&M,status.operating
10,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,387,2014,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
1,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1205,2015,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
2,Bizarro,Six Flags New England,"Agawam, Mass.",Intamin,2000,929,2015,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
3,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,714,2015,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
4,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,671,2015,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,650,2015,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,597,2015,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
7,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,499,2015,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
8,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,491,2015,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
9,Nemesis,Alton Towers,"Staffordshire, England",B&M,1994,462,2015,Stoke-on-Trent,England,United Kingdom,ST10 4DB,Steel,Inverted,81.0,13.0,716.0,4.0,B&M,status.operating
10,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,450,2015,Arlington,Texas,United States,76011,Hybrid,Sit Down,105.0,47.0,1280.0,0.0,RMC,status.operating
1,Fury 325,Carowinds,"Charlotte, N.C.",B&M,2015,1126,2016,Charlotte,North Carolina,United States,28273,Steel,Sit Down,153.0,99.0,2012.0,0.0,B&M,status.operating
2,Millennium Force,Cedar Point,"Sandusky, Ohio",Intamin,2000,1122,2016,Sandusky,Ohio,United States,44870,Steel,Sit Down,150.0,94.0,2010.0,0.0,Intamin,status.operating
3,Superman The Ride,Six Flags New England,"Agawam, Mass.",Intamin,2000,698,2016,Agawam,Massachusetts,United States,01001,Steel,Sit Down,124.0,63.0,1646.0,0.0,Intamin,status.operating
4,Expedition GeForce,Holiday Park,"Hassloch, Germany",Intamin,2001,613,2016,Hassloch,Rhineland-Palatinate,Germany,67454,Steel,Sit Down,120.0,53.0,1220.0,0.0,Intamin,status.operating
5,Nitro,Six Flags Great Adventure,"Jackson, N.J.",B&M,2001,454,2016,Jackson,New Jersey,United States,08527,Steel,Sit Down,128.0,70.0,1644.0,0.0,B&M,status.operating
6,Apollo’s Chariot,Busch Gardens Williamsburg,"Williamsburg, Va.",B&M,1999,397,2016,Williamsburg,Virginia,United States,23185,Steel,Sit Down,118.0,52.0,1488.0,0.0,B&M,status.operating
7,Leviathan,Canada’s Wonderland,"Vaughan, Ontario, Canada",B&M,2012,393,2016,Vaughan,Ontario,Canada,L6A 1S6,Steel,Sit Down,148.0,93.0,1672.0,0.0,B&M,status.operating
8,Intimidator,Carowinds,"Charlotte, N.C.",B&M,2010,350,2016,Charlotte,North Carolina,United States,28273,Steel,Sit Down,120.0,71.0,1620.0,0.0,B&M,status.operating
